epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.888,0.96521,2.63616,1.31177,0.00741,0.57045,0.29189,0.21595,0.88088,3.1097,1.18034,0.00025005,0.00025005,0.00025005
2,444.555,0.94869,1.57357,1.28236,0.89346,0.24806,0.29502,0.17731,0.95383,2.80802,1.32465,0.000511654,0.000511654,0.000511654
3,615.349,0.96314,1.3857,1.27786,0.80408,0.24902,0.52585,0.34646,1.11587,2.58935,1.54345,0.000767977,0.000767977,0.000767977
4,792.117,0.98757,1.34207,1.30574,0.75894,0.30821,0.51267,0.28584,1.31231,2.65532,1.70853,0.00101902,0.00101902,0.00101902
5,960.803,1.02508,1.38218,1.30455,0.75706,0.21655,0.46572,0.2673,1.31658,2.84023,1.68169,0.00126478,0.00126478,0.00126478
6,1130.35,0.96933,1.28964,1.31238,0.76756,0.60272,0.68734,0.4197,1.37132,2.03407,1.6936,0.00150526,0.00150526,0.00150526
7,4201.7,1.00118,1.23189,1.28722,0.68949,0.59662,0.66927,0.42647,1.29873,1.88631,1.64865,0.00156798,0.00156798,0.00156798
8,4429.13,1.0044,1.25352,1.30869,0.7282,0.64072,0.67087,0.41967,1.34025,1.7238,1.65897,0.00155148,0.00155148,0.00155148
9,4607.81,1.02262,1.21072,1.33393,0.78216,0.64695,0.70393,0.4475,1.26376,1.82014,1.70899,0.00153497,0.00153497,0.00153497
10,4776.28,1.00333,1.14033,1.30631,0.84622,0.66363,0.75051,0.49432,1.17403,1.48515,1.59017,0.00151847,0.00151847,0.00151847
11,4950.99,1.01702,1.15953,1.32959,0.85655,0.68257,0.75601,0.52342,1.11257,1.33671,1.4492,0.00150197,0.00150197,0.00150197
12,5143.26,0.97256,1.08698,1.27126,0.79859,0.68369,0.74665,0.50498,1.12251,1.45719,1.44158,0.00148546,0.00148546,0.00148546
13,5372.13,0.96114,1.04298,1.26209,0.7863,0.61407,0.70701,0.45877,1.24357,1.47038,1.5658,0.00146896,0.00146896,0.00146896
14,5585.1,0.94997,1.02463,1.25032,0.74998,0.69065,0.70599,0.44204,1.2149,1.48221,1.53168,0.00145246,0.00145246,0.00145246
15,5788.56,0.91328,1.00601,1.23371,0.80127,0.68778,0.73001,0.47991,1.23844,1.46267,1.5478,0.00143595,0.00143595,0.00143595
16,5957.06,0.91018,0.99084,1.23727,0.75954,0.68807,0.69976,0.45541,1.2621,1.36199,1.5784,0.00141945,0.00141945,0.00141945
17,6122.01,0.94852,0.98676,1.25611,0.78147,0.679,0.74929,0.49617,1.22505,1.30357,1.51353,0.00140295,0.00140295,0.00140295
18,6287.2,0.93578,0.98786,1.25683,0.78754,0.69216,0.74007,0.50338,1.09183,1.29271,1.40433,0.00138644,0.00138644,0.00138644
19,6453.46,0.90567,0.96212,1.22902,0.86876,0.65645,0.76954,0.49829,1.23655,1.40459,1.55011,0.00136994,0.00136994,0.00136994
20,6619.07,0.91746,0.96945,1.22386,0.74562,0.62793,0.66156,0.44036,1.23716,1.53733,1.46838,0.00135344,0.00135344,0.00135344
